date,search_index,keyword,iso3,country
2019-01-01,4,crypto,IRN,Iran
2019-02-01,4,crypto,IRN,Iran
2019-03-01,3,crypto,IRN,Iran
2019-04-01,5,crypto,IRN,Iran
2019-05-01,6,crypto,IRN,Iran
2019-06-01,6,crypto,IRN,Iran
2019-07-01,6,crypto,IRN,Iran
2019-08-01,6,crypto,IRN,Iran
2019-09-01,6,crypto,IRN,Iran
2019-10-01,4,crypto,IRN,Iran
2019-11-01,4,crypto,IRN,Iran
2019-12-01,3,crypto,IRN,Iran
2020-01-01,5,crypto,IRN,Iran
2020-02-01,5,crypto,IRN,Iran
2020-03-01,5,crypto,IRN,Iran
2020-04-01,11,crypto,IRN,Iran
2020-05-01,6,crypto,IRN,Iran
2020-06-01,6,crypto,IRN,Iran
2020-07-01,7,crypto,IRN,Iran
2020-08-01,9,crypto,IRN,Iran
2020-09-01,8,crypto,IRN,Iran
2020-10-01,7,crypto,IRN,Iran
2020-11-01,6,crypto,IRN,Iran
2020-12-01,7,crypto,IRN,Iran
2021-01-01,12,crypto,IRN,Iran
2021-02-01,19,crypto,IRN,Iran
2021-03-01,22,crypto,IRN,Iran
2021-04-01,35,crypto,IRN,Iran
2021-05-01,39,crypto,IRN,Iran
2021-06-01,21,crypto,IRN,Iran
2021-07-01,18,crypto,IRN,Iran
2021-08-01,27,crypto,IRN,Iran
2021-09-01,26,crypto,IRN,Iran
2021-10-01,29,crypto,IRN,Iran
2021-11-01,37,crypto,IRN,Iran
2021-12-01,35,crypto,IRN,Iran
2022-01-01,70,crypto,IRN,Iran
2022-02-01,39,crypto,IRN,Iran
2022-03-01,39,crypto,IRN,Iran
2022-04-01,33,crypto,IRN,Iran
2022-05-01,32,crypto,IRN,Iran
2022-06-01,29,crypto,IRN,Iran
2022-07-01,27,crypto,IRN,Iran
2022-08-01,27,crypto,IRN,Iran
2022-09-01,25,crypto,IRN,Iran
2022-10-01,18,crypto,IRN,Iran
2022-11-01,22,crypto,IRN,Iran
2022-12-01,20,crypto,IRN,Iran
2023-01-01,21,crypto,IRN,Iran
2023-02-01,25,crypto,IRN,Iran
2023-03-01,24,crypto,IRN,Iran
2023-04-01,25,crypto,IRN,Iran
2023-05-01,22,crypto,IRN,Iran
2023-06-01,21,crypto,IRN,Iran
2023-07-01,22,crypto,IRN,Iran
2023-08-01,21,crypto,IRN,Iran
2023-09-01,18,crypto,IRN,Iran
2023-10-01,17,crypto,IRN,Iran
2023-11-01,21,crypto,IRN,Iran
2023-12-01,25,crypto,IRN,Iran
2024-01-01,25,crypto,IRN,Iran
2024-02-01,27,crypto,IRN,Iran
2024-03-01,56,crypto,IRN,Iran
2024-04-01,37,crypto,IRN,Iran
2024-05-01,30,crypto,IRN,Iran
2024-06-01,46,crypto,IRN,Iran
2024-07-01,100,crypto,IRN,Iran
2024-08-01,57,crypto,IRN,Iran
2024-09-01,48,crypto,IRN,Iran
2024-10-01,39,crypto,IRN,Iran
2024-11-01,42,crypto,IRN,Iran
2024-12-01,36,crypto,IRN,Iran
2019-01-01,74,dollar,IRN,Iran
2019-02-01,75,dollar,IRN,Iran
2019-03-01,78,dollar,IRN,Iran
2019-04-01,97,dollar,IRN,Iran
2019-05-01,100,dollar,IRN,Iran
2019-06-01,91,dollar,IRN,Iran
2019-07-01,99,dollar,IRN,Iran
2019-08-01,94,dollar,IRN,Iran
2019-09-01,86,dollar,IRN,Iran
2019-10-01,85,dollar,IRN,Iran
2019-11-01,81,dollar,IRN,Iran
2019-12-01,69,dollar,IRN,Iran
2020-01-01,62,dollar,IRN,Iran
2020-02-01,63,dollar,IRN,Iran
2020-03-01,78,dollar,IRN,Iran
2020-04-01,64,dollar,IRN,Iran
