iso3,country,year,inflation_pct,fx_lcu_per_usd,gdp_per_capita_usd,fx_depreciation_pct,trends_USDT,trends_bitcoin,trends_crypto,trends_dollar,chainalysis_rank,chainalysis_score
ARG,Argentina,2019,53.5,48.1478916666667,9955.97478680428,,,,,,,
ARG,Argentina,2020,42.0,70.5391666666667,8535.59938004389,46.50520349887246,,,,,,
ARG,Argentina,2021,48.4,94.9907416666667,10738.0179223384,34.663827424480466,,,,,,
ARG,Argentina,2022,72.4,130.61655,13962.1894087223,37.5045059215858,,,,,,
ARG,Argentina,2023,133.5,296.258041666667,14261.8465667948,126.81508711313154,,,,,15.0,0.29
ARG,Argentina,2024,219.9,914.694883333333,13969.7836603737,208.7493855652015,,,,,15.0,0.29
EGY,Egypt,2019,13.9,16.7705818428763,2962.98892023003,,0.0,37.75,13.25,13.5,,
EGY,Egypt,2020,5.7,15.7591729166667,3511.11381026379,-6.030851736007126,1.5833333333333333,48.333333333333336,16.416666666666668,12.5,,
EGY,Egypt,2021,4.5,15.6445272777113,3827.35415374308,-0.7274851260382631,10.25,62.833333333333336,52.666666666666664,12.083333333333334,,
EGY,Egypt,2022,8.5,19.1604397412204,4233.30783744856,22.473753288271038,32.166666666666664,51.25,74.0,32.583333333333336,,
EGY,Egypt,2023,24.4,30.6264136980311,3456.78968456253,59.84191444282787,44.583333333333336,29.5,52.083333333333336,33.5,44.0,0.18
EGY,Egypt,2024,33.3,45.29926,3338.47371395895,47.90912330330135,68.66666666666667,40.333333333333336,76.33333333333333,28.666666666666668,44.0,0.18
IND,India,2019,4.8,70.4203405359551,2041.42863698585,,0.8333333333333334,11.416666666666666,4.0,63.25,,
IND,India,2020,6.2,74.0995668836052,1907.04251637669,5.224664237134102,2.75,17.333333333333332,4.833333333333333,68.16666666666667,,
IND,India,2021,5.5,73.9180128154351,2239.61384367482,-0.24501366985758555,27.75,49.916666666666664,45.5,65.16666666666667,,
IND,India,2022,6.7,78.6044905829916,2347.44829434623,6.340102485246857,39.666666666666664,29.25,39.333333333333336,85.75,,
IND,India,2023,5.4,82.5992764460784,2530.12031278204,5.082134409190098,40.833333333333336,16.416666666666668,24.833333333333332,76.91666666666667,1.0,0.68
IND,India,2024,4.6,83.669281580941,2694.73780859961,1.2954170797865316,69.33333333333333,23.916666666666668,41.333333333333336,54.25,1.0,0.68
IRN,Iran,2019,34.8,42000.0,3997.4935449585,,,,4.75,85.75,,
IRN,Iran,2020,36.5,42000.0,3202.50003502169,0.0,,,6.833333333333333,64.66666666666667,,
IRN,Iran,2021,40.2,42000.0,4605.14881318992,0.0,,,26.666666666666668,61.416666666666664,,
IRN,Iran,2022,45.8,42000.0,4721.20437099984,0.0,,,31.75,79.75,,
IRN,Iran,2023,40.7,42000.0,5049.29931642754,0.0,,,21.833333333333332,67.83333333333333,,
IRN,Iran,2024,32.5,,5190.16959024821,,,,45.25,55.0,,
NGA,Nigeria,2019,11.4,306.920951495222,3189.81286498516,,0.08333333333333333,32.5,4.916666666666667,14.166666666666666,,
NGA,Nigeria,2020,13.2,358.810797258297,2797.18458068686,16.906583115386553,1.6666666666666667,61.166666666666664,14.166666666666666,24.166666666666668,,
NGA,Nigeria,2021,17.0,401.152029220779,2787.48779224428,11.8004341803577,12.416666666666666,65.41666666666667,46.333333333333336,25.666666666666668,,
NGA,Nigeria,2022,18.8,425.979158066857,2899.16047470324,6.188957561626607,37.583333333333336,68.5,68.91666666666667,38.833333333333336,,
NGA,Nigeria,2023,24.7,645.194067883201,2138.76383719983,51.461416753619304,30.75,53.083333333333336,53.0,41.416666666666664,2.0,0.61
NGA,Nigeria,2024,31.4,1478.96519740023,1084.16041805436,129.22795962035502,65.5,50.916666666666664,82.41666666666667,56.75,2.0,0.61
TUR,Turkey,2019,15.2,5.67381930843574,9395.23378001368,,,,,,,
TUR,Turkey,2020,12.3,7.00860541558522,8798.11791709313,23.52535452027775,,,,,,
TUR,Turkey,2021,19.6,8.85040754928315,9981.76398411336,26.279152905402057,,,,,,
TUR,Turkey,2022,72.3,16.5488604173067,10897.8397861365,86.98416231292192,,,,,,
TUR,Turkey,2023,53.9,23.7385661219918,13375.0947282864,43.44532205472076,,,,,11.0,0.34
TUR,Turkey,2024,58.5,32.8058614432703,15892.7157287241,38.1964743560413,,,,,11.0,0.34
USA,United States,2019,1.8,1.0,64746.4506778863,,3.8333333333333335,18.583333333333332,4.333333333333333,82.41666666666667,,
USA,United States,2020,1.3,1.0,63515.9491807833,0.0,6.75,23.083333333333332,5.833333333333333,82.08333333333333,,
USA,United States,2021,4.7,1.0,70205.050916026,0.0,47.5,62.583333333333336,48.0,79.58333333333333,,
USA,United States,2022,8.0,1.0,76657.2488844403,0.0,45.666666666666664,37.666666666666664,31.75,82.5,,
USA,United States,2023,4.1,1.0,81032.262117545,0.0,36.75,23.5,17.333333333333332,82.41666666666667,4.0,0.55
USA,United States,2024,3.0,1.0,84534.0407841548,0.0,50.833333333333336,36.416666666666664,24.916666666666668,76.41666666666667,4.0,0.55
VEN,Venezuela,2019,19906.0,,2523.11275230667,,0.25,28.25,4.833333333333333,71.83333333333333,,
VEN,Venezuela,2020,2355.1,,1506.0436210041,,2.0,38.166666666666664,8.0,57.333333333333336,,
VEN,Venezuela,2021,1588.5,,2004.93397949792,,42.0,65.91666666666667,47.416666666666664,32.583333333333336,,
VEN,Venezuela,2022,186.5,,3155.04207099687,,50.583333333333336,38.333333333333336,28.416666666666668,23.166666666666668,,
VEN,Venezuela,2023,337.5,,3617.43594578269,,30.25,21.166666666666668,13.75,19.0,13.0,0.31
VEN,Venezuela,2024,49.0,,4217.59102643391,,41.333333333333336,21.166666666666668,17.916666666666668,16.916666666666668,13.0,0.31
